id;stripe_abo_id;stripe_abo_nick_name;stripe_conso_id;stripe_conso_nick_name;product_id;product_name;product_rate_plan_id;product_rate_plan_name;migrate_at;updated_at
1;Awesome Wooden Chips;Strategist;Games parsing Shirt;Developer Sleek Metal Shoes networks;Oregon;Associate;Intranet Producer AGP;Auto Loan Account;2020-12-16;2020-12-16
2;Fantastic Soft Cheese Crossing Ameliorated;Awesome Granite Bike clicks-and-mortar generate;Russian Federation Dynamic;Facilitator composite Compatible;teal Direct Berkshire;National Steel Fresh;Netherlands;Iranian Rial Central;2020-12-16;2020-12-17
3;Fantastic Rustic;transmitting;payment Dynamic;Computer;Designer;THX lime;Tactics bus;Ergonomic Plastic Computer Multi-channelled enterprise;2020-12-17;2020-12-16
4;Tools Clothing;Markets deposit invoice;payment Object-based Grocery;invoice Intelligent Plastic Chicken Papua New Guinea;Circles Games CSS;ivory Iowa convergence;pixel;Nigeria hacking;2020-12-17;2020-12-16
5;Licensed Plastic Towels calculating turn-key;Handcrafted Granite Towels withdrawal bypassing;auxiliary redefine Computers;user-facing;Applications withdrawal;static;Licensed sky blue Connecticut;attitude Handcrafted;2020-12-16;2020-12-16
6;Rubber Rapid Group;utilisation;Lead digital Producer;Syrian Arab Republic Montana;compressing;Internal end-to-end;cyan;functionalities;2020-12-17;2020-12-16
7;transition algorithm;Egypt Handmade Plastic Gloves;morph;synthesize cultivate AI;sensor Open-architected hacking;Clothing yellow proactive;parsing;holistic;2020-12-17;2020-12-17
8;New Hampshire redefine calculating;Quality-focused;withdrawal programming;Rubber Shores Street;protocol quantifying override;indexing India knowledge user;salmon;Heard Island and McDonald Islands;2020-12-16;2020-12-17
9;Switchable Borders;Public-key overriding Coordinator;Lithuania;Operations Wooden;workforce violet;superstructure;Lodge Home;product Buckinghamshire;2020-12-16;2020-12-17
10;Mississippi;Malagasy Ariary;structure calculating;Iraq wireless Handcrafted Soft Sausages;Assistant;drive Applications;Synergized;e-business Investment Account;2020-12-16;2020-12-16
